Date	Precipitation	Snow_Water_Equi	Snow_melt+rain	ETP_Coeff	ETP_Input	LAI	I-Cap	Int. ETi(leaf)	I-Bal	I-Prec	I-Rem	I_ETi(litter)	Bilanz	Content	S-REstn	Inf-Limit	P-linf	Rest-ETA	Balance_soil	ETa	ET-Balance	Seepage	Storage	Surface_runoff	Runoff_total	I-Leaf	I-Litter	ETaTotal
01.01.1995	2.9	2.9	0.0	0.2	0.23454880588239851	1.0	0.35	0.23454880588239851	-0.23454880588239851	0.0	0.23454880588239851	0.0	0.0	0.0	0.0	10.625	0.0	0.23454880588239851	200.0	0.23454880588239851	199.7654511941176	0.9543790806301732	198.81107211348743	0.0	0.9543790806301732	0.0	0.0	0.23454880588239851
02.01.1995	0.1	3.0	0.0	0.2	0.1439804550961259	1.0	0.35	0.1439804550961259	-0.1439804550961259	0.0	0.1439804550961259	0.0	0.0	0.0	0.0	12.797231971628143	0.0	0.1439804550961259	198.81107211348743	0.14184067536891895	198.66923143811852	0.9283271962596381	197.74090424185889	0.0	0.9283271962596381	0.0	0.0	0.14184067536891895
03.01.1995	0.0	3.0	0.0	0.2	0.44723208480073295	1.0	0.35	0.35	-0.35	0.0	0.44723208480073295	0.0	0.0	0.0	0.0	13.064773939535279	0.0	0.44723208480073295	197.74090424185889	0.43460283347975864	197.3063014083791	0.8964396356164738	196.40986177276264	0.0	0.8964396356164738	0.0	0.0	0.43460283347975864
04.01.1995	0.0	3.0	0.0	0.2	0.05477521871274927	1.0	0.35	0.05477521871274927	-0.05477521871274927	0.0	0.05477521871274927	0.0	0.0	0.0	0.0	13.39753455680934	0.0	0.05477521871274927	196.40986177276264	0.05231708613017516	196.35754468663245	0.8745711945856607	195.4829734920468	0.0	0.8745711945856607	0.0	0.0	0.05231708613017516
05.01.1995	1.3	4.3	0.0	0.2	0.06469524164777522	1.0	0.35	0.06469524164777522	-0.06469524164777522	0.0	0.06469524164777522	0.0	0.0	0.0	0.0	13.629256626988301	0.0	0.06469524164777522	195.4829734920468	0.06104236512950724	195.4219311269173	0.8532701542370181	194.56866097268028	0.0	0.8532701542370181	0.0	0.0	0.06104236512950724
06.01.1995	0.1	4.3999999999999995	0.0	0.2	0.12131733895665686	1.0	0.35	0.12131733895665686	-0.12131733895665686	0.0	0.12131733895665686	0.0	0.0	0.0	0.0	13.85783475682993	0.0	0.12131733895665686	194.56866097268028	0.11308089398458354	194.4555800786957	0.8315450107282603	193.62403506796744	0.0	0.8315450107282603	0.0	0.0	0.11308089398458354
07.01.1995	0.6	4.999999999999999	0.0	0.2	0.2100249822737952	1.0	0.35	0.2100249822737952	-0.2100249822737952	0.0	0.2100249822737952	0.0	0.0	0.0	0.0	14.09399123300814	0.0	0.2100249822737952	193.62403506796744	0.19328608325093924	193.4307489847165	0.8088112344684665	192.62193775024804	0.0	0.8088112344684665	0.0	0.0	0.19328608325093924
08.01.1995	21.8	26.8	0.0	0.2	0.19547079062223252	1.0	0.35	0.19547079062223252	-0.19547079062223252	0.0	0.19547079062223252	0.0	0.0	0.0	0.0	14.34451556243799	0.0	0.19547079062223252	192.62193775024804	0.17744334485699423	192.44449440539105	0.7872307154479103	191.65726368994314	0.0	0.7872307154479103	0.0	0.0	0.17744334485699423
09.01.1995	0.4	23.8	3.4	0.2	0.056495335851290684	1.0	0.35	0.056495335851290684	3.343504664148709	3.343504664148709	0.0	0.0	3.343504664148709	0.0	3.343504664148709	14.585684077514216	2.841978964526403	0.0	194.49924265446953	0.0	194.49924265446953	0.8325205734134297	193.6667220810561	0.5015256996223063	1.334046273035736	0.056495335851290684	0.0	0.056495335851290684
10.01.1995	1.1	14.8	10.1	0.2	0.4745134230303566	1.0	0.35	0.35	9.75	9.75	0.12451342303035662	0.0	9.75	0.0	9.75	14.083319479735977	8.2875	0.12451342303035662	201.9542220810561	0.12451342303035662	201.82970865802574	1.0044151828586056	200.82529347516714	1.4625000000000004	2.466915182858606	0.35	0.0	0.4745134230303566
11.01.1995	0.9	6.100000000000001	9.6	0.2	0.626201463942215	1.0	0.35	0.35	9.25	9.25	0.276201463942215	0.0	9.25	0.0	9.25	12.293676631208214	7.8625	0.276201463942215	208.68779347516715	0.276201463942215	208.41159201122494	1.172491440293894	207.23910057093104	1.3875000000000002	2.559991440293894	0.35	0.0	0.626201463942215
12.01.1995	0.0	5.500000000000002	0.6000000000000001	0.2	0.3521318719296267	1.0	0.35	0.35	0.2500000000000001	0.2500000000000001	0.0021318719296267163	0.0	0.2500000000000001	0.0	0.2500000000000001	10.69022485726724	0.21250000000000008	0.0021318719296267163	207.45160057093105	0.0021318719296267163	207.44946869900141	1.147111436360644	206.30235726264078	0.03750000000000003	1.1846114363606441	0.35	0.0	0.3521318719296267
13.01.1995	0.0	4.900000000000002	0.6000000000000001	0.2	0.3806495939520965	1.0	0.35	0.35	0.2500000000000001	0.2500000000000001	0.030649593952096543	0.0	0.2500000000000001	0.0	0.2500000000000001	10.924410684339804	0.21250000000000008	0.030649593952096543	206.5148572626408	0.030649593952096543	206.4842076686887	1.1219277264121308	205.36227994227656	0.03750000000000003	1.1594277264121309	0.35	0.0	0.3806495939520965
14.01.1995	0.0	0.0	4.900000000000002	0.2	0.067763412447592	1.0	0.35	0.067763412447592	4.83223658755241	4.83223658755241	0.0	0.0	4.83223658755241	0.0	4.83223658755241	11.15943001443086	4.1074010994195485	0.0	209.4696810416961	0.0	209.4696810416961	1.2007235738554252	208.2689574678407	0.7248354881328618	1.925559061988287	0.067763412447592	0.0	0.067763412447592
